1	51	101	151	201	251	301	351	401	451	501	551	601	651	701	751	801	851	901	951	1001	1051	1101	1151	1201	1251	1301	1351	1401	1451	1501	1551	1601	1651	1701	1751	1801	1851	1901	1951	2001	2051	2101	2151	2201	2251	2301	2351	2401	2451
2	52	102	152	202	252	302	352	402	452	502	552	602	652	702	752	802	852	902	952	1002	1052	1102	1152	1202	1252	1302	1352	1402	1452	1502	1552	1602	1652	1702	1752	1802	1852	1902	1952	2002	2052	2102	2152	2202	2252	2302	2352	2402	2452
3	53	103	153	203	253	303	353	403	453	503	553	603	653	703	753	803	853	903	953	1003	1053	1103	1153	1203	1253	1303	1353	1403	1453	1503	1553	1603	1653	1703	1753	1803	1853	1903	1953	2003	2053	2103	2153	2203	2253	2303	2353	2403	2453
4	54	104	154	204	254	304	354	404	454	504	554	604	654	704	754	804	854	904	954	1004	1054	1104	1154	1204	1254	1304	1354	1404	1454	1504	1554	1604	1654	1704	1754	1804	1854	1904	1954	2004	2054	2104	2154	2204	2254	2304	2354	2404	2454
5	55	105	155	205	255	305	355	405	455	505	555	605	655	705	755	805	855	905	955	1005	1055	1105	1155	1205	1255	1305	1355	1405	1455	1505	1555	1605	1655	1705	1755	1805	1855	1905	1955	2005	2055	2105	2155	2205	2255	2305	2355	2405	2455
6	56	106	156	206	256	306	356	406	456	506	556	606	656	706	756	806	856	906	956	1006	1056	1106	1156	1206	1256	1306	1356	1406	1456	1506	1556	1606	1656	1706	1756	1806	1856	1906	1956	2006	2056	2106	2156	2206	2256	2306	2356	2406	2456
7	57	107	157	207	257	307	357	407	457	507	557	607	657	707	757	807	857	907	957	1007	1057	1107	1157	1207	1257	1307	1357	1407	1457	1507	1557	1607	1657	1707	1757	1807	1857	1907	1957	2007	2057	2107	2157	2207	2257	2307	2357	2407	2457
8	58	108	158	208	258	308	358	408	458	508	558	608	658	708	758	808	858	908	958	1008	1058	1108	1158	1208	1258	1308	1358	1408	1458	1508	1558	1608	1658	1708	1758	1808	1858	1908	1958	2008	2058	2108	2158	2208	2258	2308	2358	2408	2458
9	59	109	159	209	259	309	359	409	459	509	559	609	659	709	759	809	859	909	959	1009	1059	1109	1159	1209	1259	1309	1359	1409	1459	1509	1559	1609	1659	1709	1759	1809	1859	1909	1959	2009	2059	2109	2159	2209	2259	2309	2359	2409	2459
10	60	110	160	210	260	310	360	410	460	510	560	610	660	710	760	810	860	910	960	1010	1060	1110	1160	1210	1260	1310	1360	1410	1460	1510	1560	1610	1660	1710	1760	1810	1860	1910	1960	2010	2060	2110	2160	2210	2260	2310	2360	2410	2460
11	61	111	161	211	261	311	361	411	461	511	561	611	661	711	761	811	861	911	961	1011	1061	1111	1161	1211	1261	1311	1361	1411	1461	1511	1561	1611	1661	1711	1761	1811	1861	1911	1961	2011	2061	2111	2161	2211	2261	2311	2361	2411	2461
12	62	112	162	212	262	312	362	412	462	512	562	612	662	712	762	812	862	912	962	1012	1062	1112	1162	1212	1262	1312	1362	1412	1462	1512	1562	1612	1662	1712	1762	1812	1862	1912	1962	2012	2062	2112	2162	2212	2262	2312	2362	2412	2462
13	63	113	163	213	263	313	363	413	463	513	563	613	663	713	763	813	863	913	963	1013	1063	1113	1163	1213	1263	1313	1363	1413	1463	1513	1563	1613	1663	1713	1763	1813	1863	1913	1963	2013	2063	2113	2163	2213	2263	2313	2363	2413	2463
14	64	114	164	214	264	314	364	414	464	514	564	614	664	714	764	814	864	914	964	1014	1064	1114	1164	1214	1264	1314	1364	1414	1464	1514	1564	1614	1664	1714	1764	1814	1864	1914	1964	2014	2064	2114	2164	2214	2264	2314	2364	2414	2464
15	65	115	165	215	265	315	365	415	465	515	565	615	665	715	765	815	865	915	965	1015	1065	1115	1165	1215	1265	1315	1365	1415	1465	1515	1565	1615	1665	1715	1765	1815	1865	1915	1965	2015	2065	2115	2165	2215	2265	2315	2365	2415	2465
16	66	116	166	216	266	316	366	416	466	516	566	616	666	716	766	816	866	916	966	1016	1066	1116	1166	1216	1266	1316	1366	1416	1466	1516	1566	1616	1666	1716	1766	1816	1866	1916	1966	2016	2066	2116	2166	2216	2266	2316	2366	2416	2466
